!SIL    SIL
SIL     SIL
5       p aa n ch
<Applause/>     SIL
<Laugh/>        SIL
<Noise/>        SIL
<Overlap/>      SIL
<babble/>       SIL
<cough/>        SIL
<music/>        SIL
<incomplete/>	SIL
I       ee k
I       w a n
II      d o
II      tx u
|       SIL
अ	a
अः	a hq
अःअकबर	a hq a k b a r
अःअगला	a hq a g l aa
अःअंग्रेज	a hq a q g r ee j
अःअंग्रेजों	a hq a q g r ee j o q
अःअजातशत्रु	a hq a j aa t sh a t r u
अःअपनी	a hq a p n ii
अःअपने	a hq a p n ee
अःआगरा	a hq aa g r aa
अःआज	a hq aa j
अःआठवे	a hq aa txh w ee
अःआपका	a hq aa p k aa
अःआपने	a hq aa p n ee
अःइंडिविजुअल	a hq i q dx i w i j u a l
अइबे	a i b ee
अइले	a i l ee
अःइस	a hq i s
अःइसके	a hq i s k ee
अइसे	a i s ee
अःउनके	a hq u n k ee
अःउल्टा	a hq u l tx aa
अःएक	a hq ee k
अःएजो	a hq ee j o
अःऐसी	a hq ei s ii
अःऔर	a hq ou r
अःऔरंगजेब	a hq ou r a q g a j ee b
अंक	a q k
अःकई	a hq k ii
अकड़	a k a dxq
अकड़	a k a dxq
अंकतालिका	a q k a t aa l i k aa
अंकन	a q k a n
अंकपत्र	a q k a p a t r
अकबर	a k b a r
अकबरनामा	a k b a r n aa m aa
अकबरी	a k a b r ii
अकरम	a k r a m
अकर्मक	a k a r m a k
अकर्मण्यता	a k a r m a nx y a t aa
अकर्मंदता	a k a r m a q d a t aa
अकल	a k a l
अंकल	a q k a l
अंकलेश्वर	a q k l ee sh w a r
अकल्मन्द	a k a l m a n d
अकसर	a k s a r
अकस्म	a k a s m
अकस्मात	a k a s m aa t
अःका	a hq k aa
अकाउंट	a k aa u q tx
अकाउंटिंग	a k aa u q tx i q g
अकाउंटेंट	a k aa u q tx ee q tx
अकाउंटेंटपदों	a k aa u q tx ee q tx a p a d o q
अकाउंटेंट्स	a k aa u q tx ee q tx s
अकाउंटेबल	a k aa u q tx ee b a l
अकाउंट्स	a k aa u q tx s
अकाक	a k aa k
अकाट्य	a k aa tx y
अकादमिक	a k aa d m i k
अकादमियों	a k aa d m i y o q
अकादमी	a k aa d m ii
अकाने	a k aa n ee
अकाबा	a k aa b aa
अकारण	a k aa r a nx
अंकारा	a q k aa r aa
अकार्बनिक	a k aa r b a n i k
अकाल	a k aa l
अकाली	a k aa l ii
अकांशाये	a k aa q sh aa y ee
अंकित	a q k i t
अंकिता	a q k i t aa
अंकी	a q k ii
अकीरा	a k ii r aa
अंकुर	a q k u r
अंकुरण	a q k u r a nx
अंकुरित	a q k u r i t
अकुंश	a k u q sh
अंकुश	a q k u sh
अकुशल	a k u sh a l
अकुशलता	a k u sh a l t aa
अकूत	a k uu t
अकेला	a k ee l aa
अकेलापन	a k ee l aa p a n
अकेली	a k ee l ii
अकेले	a k ee l ee
अकेलेपन	a k ee l ee p a n
अंकेषण	a q k ee sx a nx
अकैड	a k ei dx
अंको	a q k o
अंकों	a q k o q
अःको	a hq k o
अक्छ्म	a k ch m
अक्टरेस	a k tx a r ee s
अक्टरेस्	a k tx a r ee s
अक्टूब	a k tx uu b
अक्टूबर	a k tx uu b a r
अक्टूबरभी	a k tx uu b a r bh ii
अक्टूबरलास्ट	a k tx uu b r a l aa s tx
अक्ट्रेस	a k tx r ee s
अक्तूबर	a k t uu b a r
अःक्या	a hq k y aa
अक्रमंता	a k r a m a q t aa
अक्विल	a k w i l
अक्षत	a k sx a t
अक्षम	a k sx a m
अक्षमता	a k sx a m t aa
अक्षम्य	a k sx a m y
अक्षय	a k sx a y
अक्षर	a k sx a r
अक्षरधाम	a k sx a r dh aa m
अक्षरा	a k sx a r aa
अक्षरों	a k sx a r o q
अक्षांस	a k sx aa q s
अक्षुण्ण	a k sx u nx nx
अक्स	a k s
अक्सर	a k s a r
अक़्सर	a kq s a r
अक्सा	a k s aa
अखंड	a kh a q dx
अखंडता	a kh a q dx a t aa
अख़बर	a khq b a r
अखबार	a kh b aa r
अख़बार	a khq b aa r
अख़बार	a khq b aa r
अखबारों	a kh b aa r o q
अख़बारों	a khq b aa r o q
अखरता	a kh a r t aa
अखरुं	a kh r u q
अखरोट	a kh r o tx
अखलेश	a kh l ee sh
अखाड़ा	a kh aa dxq aa
अखाड़ा	a kh aa dxq aa
अखाड़े	a kh aa dxq ee
अखाड़े	a kh aa dxq ee
अखाल	a kh aa l
अखिमका	a kh i m k aa
अंखिया	a q kh i y aa
अखिल	a kh i l
अखिला	a kh i l aa
अखिलेश	a kh i l ee sh
अखीर	a kh ii r
अखेड़े	a kh ee dxq ee
अख्तर	a kh t a r
अख़्तर	a khq t a r
अख्तियार	a kh t i y aa r
अख्तियारपुर	a kh t i y aa r p u r
अग	a g
अंग	a q g
अगजा	a g a j aa
अंगद	a q g a d
अंगदान	a q g d aa n
अगम	a g a m
अगर	a g a r
अंगरक्षक	a q g r a k sx a k
अंगरक्षकों	a q g r a k sx a k o q
अगरनी	a g a r n ii
अगरबत्तियाँ	a g a r b a t t i y aa mq
अगरबत्ती	a g a r b a t t ii
अगरवाल	a g r a w aa l
अंगराज	a q g r aa j
अगरि	a g r i
अंगरेजी	a q g r ee j ii
अगरेर	a g r ee r
अगर्मीज	a g a r m ii j
अगल	a g a l
अगला	a g l aa
अगली	a g l ii
अगले	a g l ee
अगवा	a g w aa
अग़वा	a gq w aa
अगवानी	a g w aa n ii
अंगवाली	a q g a w aa l ii
अगवाह	a g w aa h
अगस्ट	a g a s tx
अगस्त	a g a s t
अगस्ता	a g a s t aa
अगस्तावेस्टलैंड	a g a s t aa w ee s tx a l ei q dx
अगस्ते	a g a s t ee
अगहरा	a g a h r aa
अगा	a g aa
अगाध	a g aa dh
अगाबी	a g aa b ii
अंगार	a q g aa r
अंगारा	a q g aa r aa
अंगारो	a q g aa r o
अंगारों	a q g aa r o q
अःगांव	a hq g aa q w
अगिनत	a g i n a t
अगी	a g ii
अंगी	a q g ii
अंगीभूत	a q g ii bh uu t
अगुआई	a g u aa ii
अंगुल	a q g u l
अंगुली	a q g u l ii
अगुवाई	a g u w aa ii
अँगूठा	a mq g uu txh aa
अंगूठा	a q g uu txh aa
अंगूठी	a q g uu txh ii
अंगूठे	a q g uu txh ee
अंगूठो	a q g uu txh o
अंगूर	a q g uu r
अगेती	a g ee t ii
अगेथी	a g ee th ii
अगेन	a g ee n
अगेंस्ट	a g ee q s tx
अंगो	a q g o
अंगों	a q g o q
अगोचर	a g o c a r
अगोरी	a g o r ii
अग्नता	a g n a t aa
अग्नाशय	a g n aa sh a y
अग्नि	a g n i
अग्निकांड	a g n i k aa q dx
अग्निपथ	a g n i p a th
अग्निशामक	a g n i sh aa m a k
अग्निहोत्र	a g n i h o t r
अग्निहोत्री	a g n i h o t r ii
अग्ने	a g n ee
अग्रज	a g r a j
अग्रणी	a g r a nx ii
